"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월","97.11","94.97","97.22","93.07","3.10M","2.86%"
"2022년 10월","94.41","96.72","97.69","92.48","133.15M","-1.65%"
"2022년 9월","95.99","100.09","100.79","94.51","132.42M","-4.90%"
"2022년 8월","100.94","105.29","105.75","100.77","142.58M","-4.02%"
"2022년 7월","105.17","103.12","105.57","101.37","204.03M","2.81%"
"2022년 6월","102.30","103.26","103.37","97.99","126.70M","-0.99%"
"2022년 5월","103.32","102.15","104.59","100.99","144.94M","0.50%"
"2022년 4월","102.81","106.31","107.01","102.27","158.74M","-4.34%"
"2022년 3월","107.47","112.60","113.49","105.97","253.56M","-4.15%"
"2022년 2월","112.12","112.50","112.81","109.92","204.17M","-0.40%"
"2022년 1월","112.57","114.37","114.41","111.69","243.87M","-2.11%"
"2021년 12월","115.00","115.30","116.64","114.67","210.79M","-0.69%"
"2021년 11월","115.80","114.22","116.14","113.50","246.32M","1.02%"
"2021년 10월","114.63","115.36","115.67","113.63","187.00M","-0.51%"
"2021년 9월","115.22","117.25","117.52","114.72","156.34M","-1.66%"
"2021년 8월","117.17","117.82","118.63","116.43","160.91M","-0.46%"
"2021년 7월","117.71","115.38","118.52","115.17","160.68M","1.92%"
"2021년 6월","115.49","114.19","115.79","114.05","133.96M","0.95%"
"2021년 5월","114.40","113.96","114.95","113.47","152.87M","0.36%"
"2021년 4월","113.99","113.21","114.76","112.80","148.73M","0.94%"
"2021년 3월","112.93","115.47","115.78","112.78","180.77M","-2.44%"
"2021년 2월","115.76","118.57","118.77","114.10","153.81M","-2.43%"
"2021년 1월","118.64","119.68","120.06","117.57","116.94M","-1.09%"
