"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월","402.33","383.90","402.93","368.83","30.52M","4.17%"
"2022년 10월","386.21","361.08","389.52","348.11","2.02B","8.13%"
"2022년 9월","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"2022년 8월","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"2022년 7월","411.99","376.56","413.03","371.04","1.44B","9.21%"
"2022년 6월","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"2022년 5월","412.93","412.07","429.66","380.54","2.42B","0.23%"
"2022년 4월","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"2022년 3월","451.64","435.04","462.07","415.12","2.38B","3.44%"
"2022년 2월","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"2022년 1월","449.91","476.30","479.98","420.76","2.49B","-5.27%"
"2021년 12월","474.96","461.64","479.00","448.92","1.93B","4.26%"
"2021년 11월","455.56","460.30","473.54","455.30","1.34B","-0.80%"
"2021년 10월","459.25","430.98","459.56","426.36","1.51B","7.02%"
"2021년 9월","429.14","452.56","454.05","428.78","1.75B","-4.97%"
"2021년 8월","451.56","440.34","453.07","436.10","1.25B","2.98%"
"2021년 7월","438.51","428.87","441.80","421.97","1.42B","2.44%"
"2021년 6월","428.06","422.57","428.78","414.70","1.28B","1.91%"
"2021년 5월","420.04","419.43","422.82","404.00","1.55B","0.66%"
"2021년 4월","417.30","398.40","420.72","398.18","1.46B","5.29%"
"2021년 3월","396.33","385.59","398.12","371.88","2.40B","4.20%"
"2021년 2월","380.36","373.72","394.17","370.38","1.31B","2.78%"
"2021년 1월","370.07","375.31","385.85","364.82","1.40B","-1.02%"
