"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 01- 01","41.36","38.34","42.53","38.11","801.88M","9.13%"
"2022- 12- 01","37.90","39.63","39.71","37.57","847.01M","-4.10%"
"2022- 11- 01","39.52","35.10","39.68","34.28","1.02B","15.59%"
"2022- 10- 01","34.19","35.12","36.76","33.49","847.98M","-1.98%"
"2022- 09- 01","34.88","39.05","39.64","34.72","950.78M","-11.54%"
"2022- 08- 01","39.43","39.55","41.20","39.14","739.28M","-1.33%"
"2022- 07- 01","39.96","39.62","40.26","38.05","759.29M","-0.35%"
"2022- 06- 01","40.10","42.91","43.23","39.26","998.49M","-5.96%"
"2022- 05- 01","42.64","42.26","43.17","38.94","1.16B","0.61%"
"2022- 04- 01","42.38","46.01","46.78","41.15","970.80M","-6.14%"
"2022- 03- 01","45.15","46.50","46.85","40.80","1.61B","-3.38%"
"2022- 02- 01","46.73","49.02","50.11","45.01","922.70M","-4.32%"
"2022- 01- 01","48.84","49.08","50.89","46.66","977.55M","-0.02%"
