"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 02- 01","38.23","41.55","42.03","38.15","48.60M","-7.57%"
"2023- 01- 01","41.36","38.34","42.53","38.11","801.88M","9.13%"
"2022- 12- 01","37.90","39.63","39.71","37.57","847.01M","-4.10%"
"2022- 11- 01","39.52","35.10","39.68","34.28","1.02B","15.59%"
"2022- 10- 01","34.19","35.12","36.76","33.49","847.98M","-1.98%"
"2022- 09- 01","34.88","39.05","39.64","34.72","950.78M","-11.54%"
"2022- 08- 01","39.43","39.55","41.20","39.14","739.28M","-1.33%"
"2022- 07- 01","39.96","39.62","40.26","38.05","759.29M","-0.35%"
"2022- 06- 01","40.10","42.91","43.23","39.26","998.49M","-5.96%"
"2022- 05- 01","42.64","42.26","43.17","38.94","1.16B","0.61%"
"2022- 04- 01","42.38","46.01","46.78","41.15","970.80M","-6.14%"
"2022- 03- 01","45.15","46.50","46.85","40.80","1.61B","-3.38%"
"2022- 02- 01","46.73","49.02","50.11","45.01","922.70M","-4.32%"
"2022- 01- 01","48.84","49.08","50.89","46.66","977.55M","-0.02%"
"2021- 12- 01","48.85","49.61","50.42","47.15","961.45M","0.02%"
"2021- 11- 01","48.84","50.89","52.14","48.35","791.63M","-4.08%"
"2021- 10- 01","50.92","50.37","52.62","49.11","774.05M","1.07%"
"2021- 09- 01","50.38","52.73","53.58","49.57","823.63M","-3.87%"
"2021- 08- 01","52.41","52.05","52.79","49.11","792.62M","1.57%"
"2021- 07- 01","51.60","55.18","55.24","49.83","748.21M","-6.44%"
"2021- 06- 01","55.15","56.14","56.17","53.85","669.95M","0.51%"
"2021- 05- 01","54.87","53.94","55.00","51.74","715.32M","1.65%"
"2021- 04- 01","53.98","54.12","55.34","53.06","741.55M","1.20%"
"2021- 03- 01","53.34","54.82","55.33","51.51","1.21B","-0.73%"
"2021- 02- 01","53.73","54.42","58.29","53.39","740.36M","0.79%"
