"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","95.78","97.60","99.26","95.61","113.74M","-1.87%"
"2022년 11월","97.61","94.96","97.61","93.07","109.91M","3.39%"
"2022년 10월","94.41","96.72","97.69","92.48","133.15M","-1.65%"
"2022년 9월","95.99","100.09","100.79","94.51","132.42M","-4.90%"
"2022년 8월","100.94","105.29","105.75","100.77","142.58M","-4.02%"
"2022년 7월","105.17","103.12","105.57","101.37","204.03M","2.81%"
"2022년 6월","102.30","103.26","103.37","97.99","126.70M","-0.99%"
"2022년 5월","103.32","102.15","104.59","100.99","144.94M","0.50%"
"2022년 4월","102.81","106.31","107.01","102.27","158.74M","-4.34%"
"2022년 3월","107.47","112.60","113.49","105.97","253.56M","-4.15%"
"2022년 2월","112.12","112.50","112.81","109.92","204.17M","-0.40%"
"2022년 1월","112.57","114.37","114.41","111.69","243.87M","-2.11%"
"2021년 12월","115.00","115.30","116.64","114.67","210.79M","-0.69%"
