"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","382.43","408.82","410.08","374.80","84.02M","-6.19%"
"2022년 11월","407.68","390.14","407.68","368.79","1.74B","5.56%"
"2022년 10월","386.21","361.08","389.52","348.11","2.02B","8.13%"
"2022년 9월","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"2022년 8월","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"2022년 7월","411.99","376.56","413.03","371.04","1.44B","9.21%"
"2022년 6월","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"2022년 5월","412.93","412.07","429.66","380.54","2.42B","0.23%"
"2022년 4월","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"2022년 3월","451.64","435.04","462.07","415.12","2.38B","3.44%"
"2022년 2월","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"2022년 1월","449.91","476.30","479.98","420.76","2.49B","-5.27%"
"2021년 12월","474.96","461.64","479.00","448.92","1.93B","4.26%"
